Suspicious File,Top 5 Candidate Documents,Status,Precision,Recall,F1 Score,Average Precision,Average Recall,Average F1-Score
suspicious-document08504.txt,"source-document01786.txt, source-document09588.txt, source-document05763.txt, source-document07082.txt, source-document03785.txt",Soft Pass,0.2,0.333333333,0.25,,,
suspicious-document08733.txt,"source-document08361.txt, source-document05686.txt, source-document07246.txt, source-document08016.txt, source-document08415.txt",Pass,0.2,1,0.333333333,,,
suspicious-document08876.txt,"source-document11005.txt, source-document04698.txt, source-document06832.txt, source-document04412.txt, source-document10456.txt",Pass,0.2,1,0.333333333,,,
suspicious-document09024.txt,"source-document02020.txt, source-document08328.txt, source-document07263.txt, source-document08480.txt, source-document03361.txt",Soft Pass,0.2,0.5,0.285714286,,,
suspicious-document09026.txt,"source-document04883.txt, source-document10512.txt, source-document07114.txt, source-document05982.txt, source-document03270.txt",Pass,0.2,1,0.333333333,,,
suspicious-document10509.txt,"source-document05509.txt, source-document02013.txt, source-document01042.txt, source-document01924.txt, source-document10663.txt",Pass,0.2,1,0.333333333,,,
suspicious-document11049.txt,"source-document01251.txt, source-document05962.txt, source-document09591.txt, source-document02721.txt, source-document08538.txt",Fail,0,0,0,,,
suspicious-document00330.txt,"source-document04606.txt, source-document03781.txt, source-document09193.txt, source-document03150.txt, source-document06879.txt",Pass,0.2,1,0.333333333,,,
suspicious-document00813.txt,"source-document02935.txt, source-document04582.txt, source-document08072.txt, source-document02880.txt, source-document08496.txt",Pass,0.2,1,0.333333333,,,
suspicious-document00890.txt,"source-document09380.txt, source-document01305.txt, source-document03320.txt, source-document03174.txt, source-document00245.txt",Pass,0.2,1,0.333333333,,,
suspicious-document02083.txt,"source-document05820.txt, source-document00002.txt, source-document10325.txt, source-document06730.txt, source-document04242.txt",Pass,0.2,1,0.333333333,,,
suspicious-document02533.txt,"source-document06794.txt, source-document08741.txt, source-document07675.txt, source-document00344.txt, source-document05905.txt",Pass,0.2,1,0.333333333,,,
suspicious-document03966.txt,"source-document02346.txt, source-document08858.txt, source-document01828.txt, source-document05987.txt, source-document07522.txt",Pass,0.2,1,0.333333333,,,
suspicious-document04085.txt,"source-document05303.txt, source-document01120.txt, source-document07498.txt, source-document10752.txt, source-document08599.txt",Pass,0.2,1,0.333333333,,,
suspicious-document04330.txt,"source-document05326.txt, source-document07855.txt, source-document03316.txt, source-document10894.txt, source-document01535.txt",Pass,0.2,1,0.333333333,,,
suspicious-document04493.txt,"source-document00954.txt, source-document09600.txt, source-document04974.txt, source-document05282.txt, source-document01273.txt",Soft Pass,0.2,0.5,0.285714286,,,
suspicious-document05497.txt,"source-document09473.txt, source-document00037.txt, source-document01524.txt, source-document07340.txt, source-document11059.txt",Pass,0.2,1,0.333333333,,,
suspicious-document05846.txt,"source-document02404.txt, source-document08441.txt, source-document07825.txt, source-document06689.txt, source-document07721.txt",Soft Pass,0.2,0.5,0.285714286,,,
suspicious-document06343.txt,"source-document00639.txt, source-document05199.txt, source-document01466.txt, source-document06048.txt, source-document07635.txt",Soft Pass,0.2,0.5,0.285714286,,,
suspicious-document06881.txt,"source-document03729.txt, source-document08700.txt, source-document10215.txt, source-document07385.txt, source-document10047.txt",Pass,0.4,1,0.571428571,,,
suspicious-document07074.txt,"source-document05987.txt, source-document08858.txt, source-document02346.txt, source-document01828.txt, source-document01952.txt",Pass,0.2,1,0.333333333,,,
suspicious-document07701.txt,"source-document08694.txt, source-document05096.txt, source-document00760.txt, source-document07586.txt, source-document01025.txt",Fail,0,0,0,,,
suspicious-document08191.txt,"source-document02651.txt, source-document08169.txt, source-document08578.txt, source-document02575.txt, source-document08406.txt",Pass,0.2,1,0.333333333,,,
suspicious-document09126.txt,"source-document08943.txt, source-document09680.txt, source-document10080.txt, source-document09238.txt, source-document10287.txt",Pass,0.2,1,0.333333333,,,
suspicious-document09237.txt,"source-document09997.txt, source-document03278.txt, source-document10457.txt, source-document06829.txt, source-document10415.txt",Pass,0.2,1,0.333333333,,,
suspicious-document10168.txt,"source-document10979.txt, source-document00916.txt, source-document06736.txt, source-document08954.txt, source-document00940.txt",Pass,0.2,1,0.333333333,,,
suspicious-document11032.txt,"source-document04845.txt, source-document05238.txt, source-document07981.txt, source-document09178.txt, source-document03961.txt",Soft Pass,0.2,0.5,0.285714286,,,
suspicious-document00660.txt,"source-document01652.txt, source-document01570.txt, source-document04224.txt, source-document10830.txt, source-document03933.txt",Soft Pass,0.2,0.5,0.285714286,,,
suspicious-document01037.txt,"source-document04272.txt, source-document10375.txt, source-document01810.txt, source-document03284.txt, source-document00080.txt",Pass,0.2,1,0.333333333,,,
suspicious-document01505.txt,"source-document10187.txt, source-document01380.txt, source-document04609.txt, source-document02314.txt, source-document02411.txt",Pass,0.2,1,0.333333333,,,
suspicious-document03236.txt,"source-document00002.txt, source-document10938.txt, source-document10957.txt, source-document10723.txt, source-document05325.txt",Pass,0.2,1,0.333333333,,,
suspicious-document04006.txt,"source-document05075.txt, source-document05173.txt, source-document01060.txt, source-document07087.txt, source-document00451.txt",Pass,0.2,1,0.333333333,,,
suspicious-document04924.txt,"source-document04209.txt, source-document07410.txt, source-document08998.txt, source-document04821.txt, source-document03496.txt",Pass,0.2,1,0.333333333,,,
suspicious-document05158.txt,"source-document10688.txt, source-document02210.txt, source-document00905.txt, source-document00706.txt, source-document00923.txt",Pass,0.2,1,0.333333333,,,
suspicious-document05358.txt,"source-document04588.txt, source-document00534.txt, source-document07642.txt, source-document06579.txt, source-document01952.txt",Pass,0.2,1,0.333333333,,,
suspicious-document05589.txt,"source-document00742.txt, source-document04513.txt, source-document00578.txt, source-document05422.txt, source-document07777.txt",Soft Pass,0.2,0.5,0.285714286,,,
suspicious-document06668.txt,"source-document09337.txt, source-document02533.txt, source-document08542.txt, source-document01610.txt, source-document04257.txt",Pass,0.2,1,0.333333333,,,
suspicious-document07350.txt,"source-document11044.txt, source-document07892.txt, source-document08431.txt, source-document07527.txt, source-document06971.txt",Pass,0.2,1,0.333333333,,,
suspicious-document07542.txt,"source-document07931.txt, source-document04472.txt, source-document09174.txt, source-document01794.txt, source-document09879.txt",Pass,0.4,1,0.571428571,,,
suspicious-document08320.txt,"source-document05689.txt, source-document06579.txt, source-document02827.txt, source-document01952.txt, source-document02665.txt",Pass,0.2,1,0.333333333,,,
suspicious-document08471.txt,"source-document04390.txt, source-document03693.txt, source-document07236.txt, source-document08132.txt, source-document03576.txt",Pass,0.2,1,0.333333333,,,
suspicious-document08878.txt,"source-document04600.txt, source-document05062.txt, source-document07155.txt, source-document05577.txt, source-document05131.txt",Soft Pass,0.2,0.5,0.285714286,,,
suspicious-document08908.txt,"source-document00098.txt, source-document00127.txt, source-document02297.txt, source-document00993.txt, source-document07699.txt",Pass,0.4,1,0.571428571,,,
suspicious-document09068.txt,"source-document07192.txt, source-document06335.txt, source-document00532.txt, source-document09550.txt, source-document00338.txt",Pass,0.2,1,0.333333333,,,
suspicious-document09498.txt,"source-document01545.txt, source-document05265.txt, source-document05078.txt, source-document03048.txt, source-document00044.txt",Pass,0.2,1,0.333333333,,,
suspicious-document10065.txt,"source-document05568.txt, source-document07732.txt, source-document05632.txt, source-document05444.txt, source-document05118.txt",Pass,0.2,1,0.333333333,,,
suspicious-document10959.txt,"source-document10114.txt, source-document00053.txt, source-document05735.txt, source-document05067.txt, source-document07592.txt",Pass,0.2,1,0.333333333,,,
